	Date	TD	YD	Release	Daily	%+-YD	%+-LW	Theatre	Avg	To Date	Days	Distributor	google trends
151	2020-11-16	14	19	After We Collided	$921	-75.3%	-71.5%	141	$6	$2,377,892	25	"Open Road Films (II)

"	2.454084086737149
152	2020-11-16	15	23	A Call to Spy	$380	-30.8%	-40.8%	8	$47	$150,141	46	"IFC Films

"	0.04
153	2020-11-16	16	22	The Broken Hearts Gallery	$318	-67.8%	-67%	239	$1	$4,066,487	67	"TriStar Pictures

"	0.136986301369863
154	2020-11-16	17	24	The Call	$175	-55.7%	-89.4%	20	$8	$515,352	46	"Atlas Distribution Company

"	12.660619803476953
155	2020-11-16	18	21	Pray: The Story of Patrick Peyton	$69	-93.4%	-1.4%	19	$3	$69,269	39	"ArtAffects Entertainment

"	0.0
156	2020-11-16	19	28	Infidel	$31	-31.1%	-88.3%	7	$4	$4,051,064	60	"Cloudburst Entertainment

"	0.2380952380952381
157	2020-11-16	20	26	Words on Bathroom Walls	$12	-91.9%	-96.3%	4	$3	$2,542,356	88	"Roadside Attractions

"	0.26666666666666666
158	2020-11-16	21	27	Counter Column	$0	-100%	-	1	$0	$15,504	32	"Not That Kind of Movie Productions

"	0.0126672
159	2020-11-15	1	1	Freaky	$716,430	-48.7%	-	2,472	$289	$3,600,355	3	"Universal Pictures

"	5.291005291005294
160	2020-11-15	2	2	Let Him Go	$392,195	-50.6%	-56.4%	2,458	$159	$6,832,900	10	"Focus Features

"	1.7460317460317463
161	2020-11-15	3	3	The War with Grandpa	$347,272	-46.1%	-10.2%	2,145	$161	$15,223,275	38	"101 Studios

"	0.8732394366197183
162	2020-11-15	4	4	Come Play	$230,620	-54.5%	-43.7%	1,966	$117	$7,289,895	17	"Focus Features

"	3.571428571428572
163	2020-11-15	5	5	Honest Thief	$179,227	-50.5%	-33.9%	1,843	$97	$12,362,117	38	"Open Road Films (II)

"	1.368421052631579
164	2020-11-15	6	6	Guardians of the Galaxy2020 Re-release	$98,000	-47%	-	1,560	$62	$406,000	3	"Walt Disney Studios Motion Pictures

"	0.0
165	2020-11-15	7	7	True to the Game 2	$85,186	-29.5%	-	281	$303	$610,710	10	"Faith Media Distribution

"	0.83
166	2020-11-15	8	10	The Last Shift	$56,918	+9.4%	+121,002.1%	135	$421	$796,604	52	"Stage 6 Films

"	0.06
